id,name_with_owner,url,created_at,updated_at,primary_language,stargazer_count,pull_requests,releases,issues_rate
MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==,sveltejs/svelte,https://github.com/sveltejs/svelte,6,3,JavaScript,72249,2900,13,0.850257191846066
MDEwOlJlcG9zaXRvcnkzNDcwNDcx,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,11,1,JavaScript,72173,198,52,0.716238956668069
MDEwOlJlcG9zaXRvcnkxMDYwMTczNDM=,tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,5,0,HTML,71687,1833,213,0.9989905787348586
MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,doocs/advanced-java,https://github.com/doocs/advanced-java,4,0,Java,71464,75,1,0.9787234042553191
MDEwOlJlcG9zaXRvcnk0ODM3ODk0Nw==,fatedier/frp,https://github.com/fatedier/frp,7,5,Go,71448,482,84,0.9724930362116991
MDEwOlJlcG9zaXRvcnkyMDkwNDQzNw==,gin-gonic/gin,https://github.com/gin-gonic/gin,9,2,Go,71224,941,25,0.7396335583413693
MDEwOlJlcG9zaXRvcnkxMTgxOTI3,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,12,5,C++,71215,13228,43,0.9538664904163913
MDEwOlJlcG9zaXRvcnk1MTA4MDUx,opencv/opencv,https://github.com/opencv/opencv,11,1,C++,70985,11395,60,0.7584337349397591
MDEwOlJlcG9zaXRvcnk2NTYwMDk3NQ==,pytorch/pytorch,https://github.com/pytorch/pytorch,7,0,Python,70379,5442,45,0.6763238148045467
MDEwOlJlcG9zaXRvcnk2MTIyMzA=,nvm-sh/nvm,https://github.com/nvm-sh/nvm,13,1,Shell,69777,690,64,0.8339960238568589
MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=,macrozheng/mall,https://github.com/macrozheng/mall,5,3,Java,69615,1,2,0.9466950959488273
MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==,vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,7,0,None,69394,3438,0,0.8617511520737328
MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,10,0,Java,69168,42,186,0.9804567626061957
MDEwOlJlcG9zaXRvcnkxNjQwODk5Mg==,neovim/neovim,https://github.com/neovim/neovim,9,0,Vim Script,69100,10644,33,0.8626059530849596
MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,gohugoio/hugo,https://github.com/gohugoio/hugo,10,0,Go,68851,2137,240,0.9139221556886228
MDEwOlJlcG9zaXRvcnk1NTA3NjA2Mw==,Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,7,0,None,68677,27,0,0
MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,typicode/json-server,https://github.com/typicode/json-server,9,0,JavaScript,68234,110,13,0.4556603773584906
MDEwOlJlcG9zaXRvcnkxNTc2MTY4ODA=,iptv-org/iptv,https://github.com/iptv-org/iptv,4,0,JavaScript,68169,5766,0,0.9213124274099884
MDEwOlJlcG9zaXRvcnkxOTY3MDE2MTk=,tauri-apps/tauri,https://github.com/tauri-apps/tauri,4,1,Rust,68114,3305,607,0.8263654753877275
MDEwOlJlcG9zaXRvcnkxNzI1NjI0NzU=,florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,4,5,None,66711,149,0,0.33043478260869563
MDEwOlJlcG9zaXRvcnk3NjkxNjMx,moby/moby,https://github.com/moby/moby,10,1,Go,66617,18861,139,0.8342304039079108
MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=,thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,5,1,None,65974,173,1,0.9930555555555556
MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,3,1,Java,65189,0,0,0.5625
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elastic/elasticsearch,https://github.com/elastic/elasticsearch,13,1,Java,64978,57199,118,0.8831861102650015
MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,netdata/netdata,https://github.com/netdata/netdata,10,0,C,64924,7183,69,0.9635708566853483
MDEwOlJlcG9zaXRvcnkxODYxNDU4,hakimel/reveal.js,https://github.com/hakimel/reveal.js,12,3,JavaScript,64502,386,40,0.7072630646589902
MDEwOlJlcG9zaXRvcnk1OTY4OTI=,pallets/flask,https://github.com/pallets/flask,13,1,Python,64035,1513,30,1.0
MDEwOlJlcG9zaXRvcnkxNTYzNDk4MQ==,godotengine/godot,https://github.com/godotengine/godot,9,0,C++,63969,28725,49,0.8108928611885181
MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,apple/swift,https://github.com/apple/swift,7,2,C++,63951,44355,48,0.5744483325001786
MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack/webpack,https://github.com/webpack/webpack,11,2,JavaScript,63476,4435,404,0.9793268231872013
MDEwOlJlcG9zaXRvcnk2MzUzOTA1NQ==,jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,7,3,JavaScript,63190,771,6,0.7222222222222222
R_kgDOI4f-vw,base-org/node,https://github.com/base-org/node,0,0,Shell,62719,51,15,0.813953488372093
MDEwOlJlcG9zaXRvcnkxMjg4ODk5Mw==,home-assistant/core,https://github.com/home-assistant/core,9,0,Python,62612,49297,1000,0.9494184211165343
MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,tiangolo/fastapi,https://github.com/tiangolo/fastapi,4,0,Python,62131,1402,166,0.9934308748880263
MDEwOlJlcG9zaXRvcnkxNzI5NTM4NDU=,coder/code-server,https://github.com/coder/code-server,4,0,TypeScript,61889,1337,120,0.9100850546780073
MDEwOlJlcG9zaXRvcnkyMzcxNTk=,expressjs/express,https://github.com/expressjs/express,14,2,JavaScript,61764,269,147,0.9661874334398296
MDEwOlJlcG9zaXRvcnk4ODQzNjgz,chartjs/Chart.js,https://github.com/chartjs/Chart.js,10,4,JavaScript,61632,2904,106,0.9590863090935376
MDEwOlJlcG9zaXRvcnkxNTYwMTg=,redis/redis,https://github.com/redis/redis,14,1,C,61335,3437,57,0.6864117168429618
R_kgDOIPDwlg,langchain-ai/langchain,https://github.com/langchain-ai/langchain,0,0,Python,60917,4671,227,0.33072407045009783
MDEwOlJlcG9zaXRvcnkyMzM1NzU4OA==,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,9,3,C++,60666,4306,140,0.8647469458987783
MDEwOlJlcG9zaXRvcnkxMzM0MzY5,resume/resume.github.com,https://github.com/resume/resume.github.com,12,3,JavaScript,60637,84,0,0.5315315315315315
MDEwOlJlcG9zaXRvcnkyNjA2NjcyNw==,mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,8,0,JavaScript,60612,1762,113,0.6773937226857369
MDEwOlJlcG9zaXRvcnkxNTM2OTc1NTE=,Fndroid/clash_for_windows_pkg,https://github.com/Fndroid/clash_for_windows_pkg,4,2,None,60409,7,207,0.9591069849690539
MDEwOlJlcG9zaXRvcnk4MTk3NTM3Mg==,kdn251/interviews,https://github.com/kdn251/interviews,6,0,Java,60331,42,0,0.4230769230769231
MDEwOlJlcG9zaXRvcnkyMTg3MjM5Mg==,josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,9,0,Python,59921,804,0,1.0
MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==,reduxjs/redux,https://github.com/reduxjs/redux,8,2,TypeScript,59877,1626,74,0.9811133200795229
R_kgDOJPJM2Q,twitter/the-algorithm,https://github.com/twitter/the-algorithm,0,1,Scala,59740,2,0,0.7861409796893668
R_kgDOHzIiIA,CompVis/stable-diffusion,https://github.com/CompVis/stable-diffusion,1,0,Jupyter Notebook,59658,5,0,0.2751159196290572
MDEwOlJlcG9zaXRvcnkzMjI4NTA1,atom/atom,https://github.com/atom/atom,11,1,JavaScript,59576,3937,538,0.94374671417723
MDEwOlJlcG9zaXRvcnk3MTU4MzYwMg==,Developer-Y/cs-video-courses,https://github.com/Developer-Y/cs-video-courses,6,3,None,59539,130,0,0
MDEwOlJlcG9zaXRvcnk4MDk0NTQyOA==,nestjs/nest,https://github.com/nestjs/nest,6,1,TypeScript,59309,5463,89,0.992693322508626
MDEwOlJlcG9zaXRvcnkyNTc0ODU0MjI=,vitejs/vite,https://github.com/vitejs/vite,3,0,TypeScript,59303,3569,326,0.9285714285714286
MDEwOlJlcG9zaXRvcnk0MzExNzk2,adam-p/markdown-here,https://github.com/adam-p/markdown-here,11,2,JavaScript,59131,20,11,0.5074135090609555
MDEwOlJlcG9zaXRvcnkzMzAxNTU4Mw==,keras-team/keras,https://github.com/keras-team/keras,8,2,Python,59128,2872,51,0.9764326890471346
MDEwOlJlcG9zaXRvcnk0NjAwNzg=,angular/angular.js,https://github.com/angular/angular.js,13,13,JavaScript,59092,789,0,0.9567430025445293
MDEwOlJlcG9zaXRvcnk1NTc5ODA=,socketio/socket.io,https://github.com/socketio/socket.io,13,4,TypeScript,58871,418,59,0.9756748739246515
MDEwOlJlcG9zaXRvcnkyNzgzMzUyNzM=,anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,3,0,JavaScript,58707,839,0,0.9125581395348837
MDEwOlJlcG9zaXRvcnkzNjM4OTY0,ansible/ansible,https://github.com/ansible/ansible,11,0,Python,58445,37185,30,0.9825026846061525
MDEwOlJlcG9zaXRvcnkxMjgzOTg2MzY=,xingshaocheng/architect-awesome,https://github.com/xingshaocheng/architect-awesome,5,7,None,58428,49,0,0.3188405797101449
MDEwOlJlcG9zaXRvcnkyMjY3MDg1Nw==,enaqx/awesome-react,https://github.com/enaqx/awesome-react,9,1,None,57864,772,0,0.96875
MDEwOlJlcG9zaXRvcnkxNjcxNzQ=,jquery/jquery,https://github.com/jquery/jquery,14,1,JavaScript,57779,640,8,0.9691221879135421
MDEwOlJlcG9zaXRvcnkzNDAyNTM3,h5bp/Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,11,0,Nunjucks,57777,446,0,0.9624060150375939
MDEwOlJlcG9zaXRvcnkyMTI2MzkwNzE=,bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,3,0,Python,57601,244,0,0.7910447761194029
MDEwOlJlcG9zaXRvcnkxNDczNTA0NjM=,leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,5,0,JavaScript,57514,169,0,0.6607142857142857
MDEwOlJlcG9zaXRvcnkxMjA1MzgzMDQ=,kelseyhightower/nocode,https://github.com/kelseyhightower/nocode,5,0,Dockerfile,57504,1,1,0.13894411309918267
MDEwOlJlcG9zaXRvcnk0NzAxODIzOQ==,DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,7,2,None,57210,175,0,0.8108108108108109
MDEwOlJlcG9zaXRvcnkzOTU1NjQ3,lodash/lodash,https://github.com/lodash/lodash,11,0,JavaScript,57096,573,2,0.9135772749157438
MDEwOlJlcG9zaXRvcnkxNTExMTgyMQ==,grafana/grafana,https://github.com/grafana/grafana,9,1,TypeScript,56939,34565,378,0.8858807510845128
MDEwOlJlcG9zaXRvcnk3NjAwNDA5,shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,10,4,C#,56923,278,55,0.9498607242339833
MDEwOlJlcG9zaXRvcnkxNDU1NTM2NzI=,fighting41love/funNLP,https://github.com/fighting41love/funNLP,5,4,Python,56263,14,0,0.7704918032786885
MDEwOlJlcG9zaXRvcnkyMTQ1ODcxOTM=,supabase/supabase,https://github.com/supabase/supabase,3,0,TypeScript,56239,5989,28,0.9077287066246057
MDEwOlJlcG9zaXRvcnk5MTg1Nzky,apache/echarts,https://github.com/apache/echarts,10,0,TypeScript,56220,1209,111,0.869733572212911
MDEwOlJlcG9zaXRvcnk0NDg4MjIwMQ==,MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,7,0,None,56005,335,0,0.8731343283582089
MDEwOlJlcG9zaXRvcnkxOTE1Mjk3MzI=,lydiahallie/javascript-questions,https://github.com/lydiahallie/javascript-questions,4,1,None,55991,316,0,0.9819004524886877
MDEwOlJlcG9zaXRvcnk0MzQ0MTQwMw==,strapi/strapi,https://github.com/strapi/strapi,7,1,JavaScript,55798,6782,296,0.9578562728380025
MDEwOlJlcG9zaXRvcnkyNjg5ODg3OQ==,awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,8,2,None,55748,188,1,0.42342342342342343
MDEwOlJlcG9zaXRvcnkyNDM5NTA0MDg=,Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,3,0,Shell,55684,470,1,0.4353518821603928
MDEwOlJlcG9zaXRvcnk4NDMyMjI=,scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,13,0,Python,55605,10996,34,0.8450717795548705
MDEwOlJlcG9zaXRvcnk4MTU5ODk2MQ==,python/cpython,https://github.com/python/cpython,6,2,Python,55518,35889,0,0.8930932795281701
MDEwOlJlcG9zaXRvcnkxODQwODYzNQ==,chrislgarry/Apollo-11,https://github.com/chrislgarry/Apollo-11,9,5,Assembly,55379,321,0,0.8381962864721485
MDEwOlJlcG9zaXRvcnkzMDcyNjAyMDU=,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,2,0,Python,55255,1552,72,0.801654347060894
MDEwOlJlcG9zaXRvcnk0ODY1NTA=,h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,13,3,JavaScript,55195,698,32,0.9977081741787625
MDEwOlJlcG9zaXRvcnkzNjA0MDg5NA==,gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,8,3,JavaScript,54706,17926,133,0.9931148246431901
MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,microsoft/playwright,https://github.com/microsoft/playwright,3,1,TypeScript,54481,11076,111,0.9393856029344337
MDEwOlJlcG9zaXRvcnkyMzEyODM0NTI=,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,3,1,TypeScript,54204,3061,9,0.6335565476190477
